Requirement_ID,Requirement_Description,Priority,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-101,N/A,N/A,TS-007,Yes,Covered,
REQ-102,N/A,N/A,TS-007,Yes,Covered,
REQ-103,N/A,N/A,TS-007,Yes,Covered,
REQ-104,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-105,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-106,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-107,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-108,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-109,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-110,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-111,N/A,N/A,TS-043,Yes,Covered,
REQ-112,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-113,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-114,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-115,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-116,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-117,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-118,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-119,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-120,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-121,N/A,N/A,TS-001,Yes,Covered,
REQ-122,N/A,N/A,"TS-004, TS-005, TS-027",Yes,Covered,
REQ-123,N/A,N/A,"TS-024, TS-033",Yes,Covered,
REQ-124,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-125,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-126,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-127,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-128,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-129,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-130,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-131,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-132,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-133,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-134,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-135,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
