Variant_ID,User_Type,Browser,Device,Payment_Method,Login_Method,Product_Size,Product_Color,Address_Type,Email_Status,Account_Status,Order_Status,Product_Stock_Status
V037,Admin,Chrome,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V038,Buyer,Firefox,Mobile,Debit Card,Email/Password,X-Large,Blue,Different Address,Verified,Active,Confirmed,In Stock
V039,Sub-Admin,Safari,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V040,Buyer,Chrome,Desktop,Net Banking,Google,Large,Green,Same as Billing,Verified,Active,In Process,In Stock
V041,Existing Buyer,Firefox,Tablet,Credit Card,Email/Password,Small,Black,Different Address,Verified,Active,Shipped,In Stock
V042,Buyer,Edge,Mobile,Debit Card,Facebook,Medium,White,Same as Billing,Verified,Active,Delivered,In Stock
V043,New Buyer,Chrome,Desktop,Net Banking,Google,X-Large,Red,Different Address,Verified,Active,Open,Out of Stock
V044,Buyer,Safari,Mobile,Credit Card,Email/Password,Large,Blue,Same as Billing,Verified,Active,Confirmed,In Stock
V045,Visitor,Firefox,Desktop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Stock
V046,Buyer,Chrome,Tablet,Debit Card,Facebook,Small,Green,Different Address,Verified,Active,In Process,In Stock
V047,Admin,Edge,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V048,Buyer,Safari,Desktop,Net Banking,Email/Password,Medium,Black,Same as Billing,Verified,Active,Shipped,In Stock
V049,Buyer,Firefox,Mobile,Credit Card,Google,X-Large,White,Different Address,Verified,Active,Delivered,In Stock
V050,Existing Buyer,Chrome,Desktop,Debit Card,Email/Password,Large,Red,Same as Billing,Verified,Active,Open,In Stock
